2016/08/03 19:58:52 - Starting K Experiment
"1,10334"
"2,10004"
"3,4233"
"4,2418"
"5,1087"
"6,623"
"7,474"
"8,383"
"9,321"
"10,243"
"11,227"
"12,181"
"13,154"
"14,137"
"15,125"
"16,114"
"17,103"
"18,96"
"19,82"
"20,75"
"21,77"
"22,67"
"23,63"
"24,59"
"25,50"
"26,51"
"27,49"
"28,45"
"29,42"
"30,52"
"31,45"
"32,37"
"33,35"
"34,35"
"35,32"
"36,31"
"37,35"
"38,27"
"39,30"
"40,29"
"41,25"
"42,23"
"43,33"
"44,23"
"45,24"
"46,25"
"47,22"
"48,21"
"49,22"
"50,20"
"51,20"
"52,20"
"53,22"
"54,19"
"55,19"
"56,18"
"57,25"
"58,29"
"59,25"
"60,24"
"61,20"
"62,20"
"63,22"
"64,22"
"65,26"
"66,21"
"67,19"
"68,26"
"69,18"
"70,20"
"71,18"
"72,20"
"73,18"
"74,21"
"75,18"
"76,19"
"77,18"
"78,16"
"79,16"
"80,23"
"81,17"
"82,19"
"83,16"
"84,17"
"85,14"
"86,13"
"87,13"
"88,14"
"89,12"
"90,13"
"91,13"
"92,13"
"93,15"
"94,12"
"95,12"
"96,15"
"97,13"
"98,12"
"99,12"
"100,12"
"101,11"
"102,13"
"103,11"
"104,13"
"105,11"
"106,13"
"107,12"
"108,12"
"109,12"
"110,11"
"111,12"
"112,11"
"113,11"
"114,11"
"115,11"
"116,10"
"117,10"
"118,11"
"119,10"
"120,11"
"121,11"
"122,12"
"123,13"
"124,10"
"125,10"
"126,10"
"127,10"
"128,11"
"129,11"
"130,10"
"131,10"
"132,14"
"133,10"
"134,9"
"135,11"
"136,9"
"137,9"
"138,12"
"139,11"
"140,10"
"141,12"
"142,10"
"143,10"
"144,11"
"145,10"
"146,10"
"147,9"
"148,9"
"149,13"
"150,14"
"151,11"
"152,12"
"153,10"
"154,11"
"155,12"
"156,10"
"157,11"
"158,14"
"159,10"
"160,10"
"161,11"
"162,11"
"163,11"
"164,10"
"165,11"
"166,15"
"167,11"
"168,10"
"169,11"
"170,11"
"171,11"
"172,11"
"173,14"
"174,11"
"175,11"
"176,11"
"177,12"
"178,10"
"179,12"
"180,14"
"181,12"
"182,10"
"183,11"
"184,11"
"185,10"
"186,11"
"187,12"
"188,12"
"189,11"
"190,11"
"191,11"

